schema_name,table_name,ordinal_position,column_name,data_type,is_nullable,column_default,primary_key_name,is_primary_key,foreign_key_name,referenced_schema,referenced_table,referenced_column,column_description,table_description
ipa,ipa,97,advocacy_team_name,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,98,advocacy_team_phone,character varying(20),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,99,advocacy_team_email,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,100,independent_review_officer_full_name,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,101,independent_review_officer_phone,character varying(20),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,102,independent_review_officer_email,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,103,costs_total_weekly_fee,"numeric(12,2)",YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,104,costs_total_core_costs_weekly_fee,"numeric(12,2)",YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,105,core_cost_weekly_fee,"numeric(12,2)",YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,106,payment_method,character varying(120),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,107,invoice_recipient_name,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,108,invoice_recipient_team,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,109,invoice_recipient_email,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,110,invoice_addr_line1,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,111,invoice_addr_line2,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,112,invoice_addr_county,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,113,invoice_addr_town,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,114,invoice_addr_postcode,character varying(20),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,115,schedule_contact_name,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,116,schedule_contact_phone,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,117,schedule_contact_email,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,118,schedule_addr_line1,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,119,schedule_addr_line2,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,120,schedule_addr_county,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,121,schedule_addr_town,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,122,schedule_addr_postcode,character varying(20),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,123,schedule_do_not_send_invoices_note,character varying(3000),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,124,created_datetime,timestamp without time zone,NO,NULL,,NO,,,,,NULL,NULL
ipa,ipa,125,updated_datetime,timestamp without time zone,YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,126,provider_addr_line2,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,127,provider_addr_county,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,128,home_addr_line2,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,129,home_addr_county,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,130,education_addr_line2,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,131,education_addr_county,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,132,foster_home_addr_line2,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,133,foster_home_addr_county,character varying(200),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,134,foster_home_pets_details,character varying(300),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,135,foster_transport_for_school_details,character varying(300),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,136,foster_transport_can_provide_for_family,character varying(255),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,137,foster_transport_can_provide_for_family_details,character varying(300),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,138,created_by,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,139,updated_by,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,140,status,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,141,signed_by_local_authority,boolean,NO,FALSE,,NO,,,,,NULL,NULL
ipa,ipa,142,signed_datetime_for_local_authority,timestamp without time zone,YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,143,signed_by_provider_name,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,144,signed_datetime_for_provider,timestamp without time zone,YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,145,signed_by_local_authority_name,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,146,can_sign_name,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,147,can_sign_date,timestamp without time zone,YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,148,can_sign,boolean,NO,FALSE,,NO,,,,,NULL,NULL
ipa,ipa,149,closed,boolean,NO,FALSE,,NO,,,,,NULL,NULL
ipa,ipa,150,closed_datetime,timestamp without time zone,YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,151,signed_by_provider,boolean,NO,FALSE,,NO,,,,,NULL,NULL
ipa,ipa,152,provider_id,uuid,YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa,153,child_age_months,integer,YES,0,,NO,,,,,NULL,NULL
ipa,ipa,154,invoice_recipient_phone,character varying(100),YES,0,,NO,,,,,NULL,NULL
ipa,ipa_child,1,ipa_child_id,uuid,NO,generate_ulid(),ipa_child_pkey,YES,,,,,NULL,NULL
ipa,ipa_child,2,ipa_id,uuid,NO,NULL,,NO,fk_ipa_child_ipa,ipa,ipa,ipa_id,NULL,NULL
ipa,ipa_child,3,child_full_name,character varying(150),NO,NULL,,NO,,,,,NULL,NULL
ipa,ipa_child,4,child_known_as,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa_child,5,child_date_of_birth,date,YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa_child,6,child_age_years,integer,NO,NULL,,NO,,,,,NULL,NULL
ipa,ipa_child,7,child_gender,character varying(40),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa_child,8,child_ethnicity,character varying(100),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa_child,9,child_preferred_language,character varying(80),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa_child,10,child_religion,character varying(80),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa_child,11,child_legal_status,character varying(100),NO,NULL,,NO,,,,,NULL,NULL
ipa,ipa_child,12,child_reference_number,character varying(50),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa_child,13,child_support_needs_other_text,character varying(150),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa_child,14,child_support_needs,character varying(500),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa_child,15,expected_destination_after_placement,character varying(120),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa_child,16,expected_destination_other_text,character varying(3000),YES,NULL,,NO,,,,,NULL,NULL
ipa,ipa_child,17,child_age_months,integer,YES,0,,NO,,,,,NULL,NULL
ipa,ipa_document,1,ipa_document_id,uuid,NO,generate_ulid(),ipa_document_pkey,YES,,,,,NULL,NULL
ipa,ipa_document,2,ipa_id,uuid,NO,NULL,,NO,,,,,NULL,NULL
ipa,ipa_document,3,s3_file_metadata_id,uuid,NO,NULL,,NO,fk_ipa_document_s3_file_metadata,document,s3_file_metadata,s3_file_metadata_id,NULL,NULL
offer,additional_fee,1,additional_fee_id,uuid,NO,NULL,pk_additional_fee,YES,,,,,Auto Generated Unique Primary Key,Holds key information regarding the addtional fee
offer,additional_fee,2,offer_id,uuid,NO,NULL,,NO,fk_offer_additional_fee,offer,offer,offer_id,FK to Offer entity,Holds key information regarding the addtional fee
offer,additional_fee,3,fee_code,character varying(9),YES,NULL,,NO,,,,,Fee code,Holds key information regarding the addtional fee
offer,additional_fee,4,number_of_hours,"numeric(6,1)",NO,NULL,,NO,,,,,NULL,Holds key information regarding the addtional fee
offer,additional_fee,5,other_fee_title,character varying(50),YES,NULL,,NO,,,,,NULL,Holds key information regarding the addtional fee
offer,additional_fee,6,fee_frequency,character varying(50),NO,NULL,,NO,,,,,NULL,Holds key information regarding the addtional fee
offer,additional_fee,7,rate,"numeric(6,2)",NO,NULL,,NO,,,,,NULL,Holds key information regarding the addtional fee
offer,foster_carer,1,foster_carer_id,uuid,NO,NULL,pk_foster_carer,YES,,,,,NULL,NULL
offer,foster_carer,2,offer_id,uuid,NO,NULL,,NO,fk_foster_carer_offer,offer,offer,offer_id,NULL,NULL
offer,foster_carer,3,is_primary_carer,boolean,NO,NULL,,NO,,,,,NULL,NULL
offer,foster_carer,4,full_name,character varying(255),NO,NULL,,NO,,,,,NULL,NULL
