schema_name,table_name,ordinal_position,column_name,data_type,is_nullable,contract_loaded_at
,referral_spot_category,4,export_date,string,true,2026-08-21 09:46:13.725346
,supervising_social_worker,1,social_worker_id,string,true,2026-08-21 09:46:13.725346
,supervising_social_worker,2,offer_id,string,true,2026-08-21 09:46:13.725346
,supervising_social_worker,3,full_name,string,true,2026-08-21 09:46:13.725346
,supervising_social_worker,4,phone_number,string,true,2026-08-21 09:46:13.725346
,supervising_social_worker,5,email_address,string,true,2026-08-21 09:46:13.725346
,supervising_social_worker,6,export_date,string,true,2026-08-21 09:46:13.725346
,provider,17,responsible_individual_contact_number,string,true,2026-08-21 09:46:13.725346
,provider,18,responsible_individual_email_address,string,true,2026-08-21 09:46:13.725346
,provider,19,registrant_name,string,true,2026-08-21 09:46:13.725346
,provider,20,registrant_role,string,true,2026-08-21 09:46:13.725346
,provider,21,registrant_email_address,string,true,2026-08-21 09:46:13.725346
,provider,22,registrant_contact_number,string,true,2026-08-21 09:46:13.725346
,provider,23,companies_house_registration_reference,string,true,2026-08-21 09:46:13.725346
,provider,24,national_contract_external_link,string,true,2026-08-21 09:46:13.725346
,provider,25,created_by,string,true,2026-08-21 09:46:13.725346
,provider,26,modified_by,string,true,2026-08-21 09:46:13.725346
,provider,27,created_timestamp,string,true,2026-08-21 09:46:13.725346
